id,plant_species,type,conspecific_pollen,pollen_total,heterospecific_pollen,year,day
22_Suc_B1_1,Succisa_pratensis,deposition_celkem,15,89,74,2022,12
22_Suc_B1_2,Succisa_pratensis,deposition_celkem,38,94,56,2022,12
22_Suc_B1_3,Succisa_pratensis,deposition_celkem,31,58,27,2022,12
22_Suc_B2_1,Succisa_pratensis,deposition_celkem,17,50,33,2022,12
22_Suc_B2_2,Succisa_pratensis,deposition_celkem,20,36,16,2022,12
22_Suc_B2_3,Succisa_pratensis,deposition_celkem,7,25,18,2022,12
22_Suc_B3_1,Succisa_pratensis,deposition_celkem,28,57,29,2022,12
22_Suc_B3_2,Succisa_pratensis,deposition_celkem,41,70,29,2022,12
22_Suc_B3_3,Succisa_pratensis,deposition_celkem,24,52,28,2022,12
22_Suc_B4_1,Succisa_pratensis,deposition_celkem,19,43,24,2022,12
22_Suc_B4_2,Succisa_pratensis,deposition_celkem,8,14,6,2022,12
22_Suc_B4_3,Succisa_pratensis,deposition_celkem,15,28,13,2022,12
22_Suc_B5_1,Succisa_pratensis,deposition_celkem,14,32,18,2022,12
22_Suc_B5_2,Succisa_pratensis,deposition_celkem,19,39,20,2022,12
22_Suc_B5_3,Succisa_pratensis,deposition_celkem,20,27,7,2022,12
22_Suc_B6_1,Succisa_pratensis,deposition_celkem,30,60,30,2022,12
22_Suc_B6_2,Succisa_pratensis,deposition_celkem,23,32,9,2022,12
22_Suc_B6_3,Succisa_pratensis,deposition_celkem,29,39,10,2022,12
22_Suc_B7_1,Succisa_pratensis,deposition_celkem,53,77,24,2022,12
22_Suc_B7_2,Succisa_pratensis,deposition_celkem,35,64,29,2022,12
22_Suc_B7_3,Succisa_pratensis,deposition_celkem,59,99,40,2022,12
22_Suc_B8_1,Succisa_pratensis,deposition_celkem,4,19,15,2022,12
22_Suc_B8_2,Succisa_pratensis,deposition_celkem,30,44,14,2022,12
22_Suc_B8_3,Succisa_pratensis,deposition_celkem,15,24,9,2022,12
22_Suc_B9_1,Succisa_pratensis,deposition_celkem,18,24,6,2022,12
22_Suc_B9_2,Succisa_pratensis,deposition_celkem,4,9,5,2022,12
