"pollinator_id","verified","is_pollinator","order","family","genus","notes"
"Acari",TRUE,FALSE,"Acari",,,
"Acrididae",TRUE,FALSE,"Orthoptera",,,
"Adalia_bipunctata",TRUE,TRUE,"Coleoptera",,,
"Adelidae",TRUE,FALSE,"Lepidoptera",,,
"Aglais_io",TRUE,TRUE,"Lepidoptera",,,
"Aglais_urticae",TRUE,TRUE,"Lepidoptera",,,
"Agrostis_sp",FALSE,TRUE,"Lepidoptera",,,
"Alleculinae",FALSE,TRUE,"Coleoptera",,,
"Alticinae",TRUE,TRUE,"Coleoptera",,,
"Alticini",TRUE,TRUE,"Coleoptera",,,
"Ammophila_sp",FALSE,TRUE,"Hymenoptera",,,
"Anasimyia_lineata",FALSE,TRUE,"Diptera",,,
"Andrena_flavipes",TRUE,TRUE,"Hymenoptera",,,
"Andrena_sp",TRUE,TRUE,"Hymenoptera",,,
"Anthaxia_sp",TRUE,TRUE,"Coleoptera",,,
"Anthidiellum_strigatum",TRUE,TRUE,"Hymenoptera",,,
"Anthidiini",TRUE,TRUE,"Hymenoptera",,,
"Anthidini",TRUE,TRUE,"Hymenoptera",,,
"Anthocharis_cardamines",FALSE,TRUE,"Lepidoptera",,,
"Anthophila",TRUE,TRUE,"Hymenoptera",,,
"Anthophila_other",TRUE,TRUE,"Hymenoptera",,,
"Anthrax_anthrax",FALSE,TRUE,"Diptera",,,
"Aphidoidea",TRUE,FALSE,"Hemiptera",,,
"Apionidae",FALSE,FALSE,"Coleoptera",,,
"Apis_mellifera",TRUE,TRUE,"Hymenoptera",,,
"Araneae",TRUE,FALSE,"Araneae",,,
"Araschnia_levana",TRUE,TRUE,"Lepidoptera",,,
"Arge_sp",TRUE,TRUE,"Hymenoptera",,,
"Argiope_bruennichi",FALSE,FALSE,"Araneae",,,
"Argynnis_sp",TRUE,TRUE,"Lepidoptera",,,
"Asilidae",FALSE,FALSE,"Diptera",,,
"Athalia_cordata",TRUE,TRUE,"Hymenoptera",,,
"Athalia_morf_1",TRUE,TRUE,"Hymenoptera",,,
"Athalia_rosae",TRUE,TRUE,"Hymenoptera",,,
"Auchenorrhyncha",FALSE,FALSE,"Hemiptera",,,
"Autographa_gamma",TRUE,TRUE,"Lepidoptera",,,
